algorithm,subject,run_id,fitness_value,students_attending,percentage,execution_time,start_time,end_time,solution_file
SA,INF295,65,50.279999999999994,52,98.11320754716981,0.15447020530700684,2026-02-16T17:05:50.471305,2026-02-16T17:05:50.625776,sa_INF295_run_65.csv
SA,INF295,66,50.766666666666666,53,100.0,0.16848468780517578,2026-02-16T17:05:50.626149,2026-02-16T17:05:50.794636,sa_INF295_run_66.csv
SA,INF295,67,50.279999999999994,52,98.11320754716981,0.16399502754211426,2026-02-16T17:05:50.795953,2026-02-16T17:05:50.959949,sa_INF295_run_67.csv
SA,INF295,68,50.279999999999994,52,98.11320754716981,0.15257501602172852,2026-02-16T17:05:50.960303,2026-02-16T17:05:51.112880,sa_INF295_run_68.csv
SA,INF295,69,50.766666666666666,53,100.0,0.17162275314331055,2026-02-16T17:05:51.113259,2026-02-16T17:05:51.284883,sa_INF295_run_69.csv
SA,INF295,70,50.00000000000001,52,98.11320754716981,0.15103602409362793,2026-02-16T17:05:51.285281,2026-02-16T17:05:51.436318,sa_INF295_run_70.csv
SA,INF295,71,50.00000000000001,52,98.11320754716981,0.16501998901367188,2026-02-16T17:05:51.436694,2026-02-16T17:05:51.601715,sa_INF295_run_71.csv
SA,INF295,72,50.25666666666669,53,100.0,0.1709446907043457,2026-02-16T17:05:51.602085,2026-02-16T17:05:51.773031,sa_INF295_run_72.csv
SA,INF295,73,50.00000000000001,52,98.11320754716981,0.16176509857177734,2026-02-16T17:05:51.773382,2026-02-16T17:05:51.935149,sa_INF295_run_73.csv
SA,INF295,74,50.00000000000001,52,98.11320754716981,0.16184687614440918,2026-02-16T17:05:51.935600,2026-02-16T17:05:52.097449,sa_INF295_run_74.csv
SA,INF295,75,50.00000000000001,52,98.11320754716981,0.14578509330749512,2026-02-16T17:05:52.097878,2026-02-16T17:05:52.243666,sa_INF295_run_75.csv
SA,INF295,76,50.00000000000001,52,98.11320754716981,0.17144179344177246,2026-02-16T17:05:52.244088,2026-02-16T17:05:52.415530,sa_INF295_run_76.csv
SA,INF295,77,50.733333333333356,53,100.0,0.1689307689666748,2026-02-16T17:05:52.415898,2026-02-16T17:05:52.584830,sa_INF295_run_77.csv
SA,INF295,78,50.183333333333344,53,100.0,0.14397788047790527,2026-02-16T17:05:52.585195,2026-02-16T17:05:52.729174,sa_INF295_run_78.csv
SA,INF295,79,50.279999999999994,52,98.11320754716981,0.1634962558746338,2026-02-16T17:05:52.729553,2026-02-16T17:05:52.893051,sa_INF295_run_79.csv
SA,INF295,80,50.00000000000001,52,98.11320754716981,0.1669151782989502,2026-02-16T17:05:52.893577,2026-02-16T17:05:53.060493,sa_INF295_run_80.csv
SA,INF295,81,50.279999999999994,52,98.11320754716981,0.16661500930786133,2026-02-16T17:05:53.060846,2026-02-16T17:05:53.227462,sa_INF295_run_81.csv
SA,INF295,82,50.279999999999994,52,98.11320754716981,0.17271089553833008,2026-02-16T17:05:53.227811,2026-02-16T17:05:53.400523,sa_INF295_run_82.csv
SA,INF295,83,50.00000000000001,52,98.11320754716981,0.15506720542907715,2026-02-16T17:05:53.400895,2026-02-16T17:05:53.555963,sa_INF295_run_83.csv
SA,INF295,84,50.279999999999994,52,98.11320754716981,0.14271879196166992,2026-02-16T17:05:53.557262,2026-02-16T17:05:53.699982,sa_INF295_run_84.csv
SA,INF295,85,50.00000000000001,52,98.11320754716981,0.165971040725708,2026-02-16T17:05:53.700350,2026-02-16T17:05:53.866321,sa_INF295_run_85.csv
SA,INF295,86,50.00000000000001,52,98.11320754716981,0.1635730266571045,2026-02-16T17:05:53.866643,2026-02-16T17:05:54.030216,sa_INF295_run_86.csv
SA,INF295,87,50.00000000000001,52,98.11320754716981,0.16162490844726562,2026-02-16T17:05:54.030587,2026-02-16T17:05:54.192214,sa_INF295_run_87.csv
SA,INF295,88,50.00000000000001,52,98.11320754716981,0.16039514541625977,2026-02-16T17:05:54.193482,2026-02-16T17:05:54.353878,sa_INF295_run_88.csv
SA,INF295,89,50.733333333333356,53,100.0,0.1622018814086914,2026-02-16T17:05:54.354245,2026-02-16T17:05:54.516449,sa_INF295_run_89.csv
SA,INF295,90,50.766666666666666,53,100.0,0.17235708236694336,2026-02-16T17:05:54.516801,2026-02-16T17:05:54.689159,sa_INF295_run_90.csv
SA,INF295,91,50.00000000000001,52,98.11320754716981,0.15606927871704102,2026-02-16T17:05:54.690379,2026-02-16T17:05:54.846449,sa_INF295_run_91.csv
SA,INF295,92,50.00000000000001,52,98.11320754716981,0.1543419361114502,2026-02-16T17:05:54.846818,2026-02-16T17:05:55.001161,sa_INF295_run_92.csv
SA,INF295,93,51.23666666666665,53,100.0,0.15453696250915527,2026-02-16T17:05:55.001514,2026-02-16T17:05:55.156052,sa_INF295_run_93.csv
SA,INF295,94,50.00000000000001,52,98.11320754716981,0.1657726764678955,2026-02-16T17:05:55.156421,2026-02-16T17:05:55.322195,sa_INF295_run_94.csv
SA,INF295,95,50.279999999999994,52,98.11320754716981,0.15911197662353516,2026-02-16T17:05:55.322558,2026-02-16T17:05:55.481672,sa_INF295_run_95.csv
SA,INF295,96,50.733333333333356,53,100.0,0.1422412395477295,2026-02-16T17:05:55.482012,2026-02-16T17:05:55.624254,sa_INF295_run_96.csv
SA,INF295,97,50.733333333333356,53,100.0,0.1566619873046875,2026-02-16T17:05:55.624612,2026-02-16T17:05:55.781274,sa_INF295_run_97.csv
SA,INF295,98,50.279999999999994,52,98.11320754716981,0.16591787338256836,2026-02-16T17:05:55.781640,2026-02-16T17:05:55.947560,sa_INF295_run_98.csv
SA,INF295,99,51.23666666666665,53,100.0,0.1629500389099121,2026-02-16T17:05:55.947932,2026-02-16T17:05:56.110884,sa_INF295_run_99.csv
SA,INF295,100,50.00000000000001,52,98.11320754716981,0.13795876502990723,2026-02-16T17:05:56.111266,2026-02-16T17:05:56.249227,sa_INF295_run_100.csv
Solver,INF295,1,51.23666666666664,53,100.0,0.5107409954071045,2026-02-16T17:05:56.249607,2026-02-16T17:05:56.760349,solver_INF295_run_01.csv
Solver,INF295,2,51.23666666666664,53,100.0,0.40277719497680664,2026-02-16T17:05:56.764257,2026-02-16T17:05:57.167033,solver_INF295_run_02.csv
Solver,INF295,3,51.23666666666664,53,100.0,0.40469789505004883,2026-02-16T17:05:57.170711,2026-02-16T17:05:57.575409,solver_INF295_run_03.csv
Solver,INF295,4,51.23666666666664,53,100.0,0.40787482261657715,2026-02-16T17:05:57.579215,2026-02-16T17:05:57.987088,solver_INF295_run_04.csv
Solver,INF295,5,51.23666666666664,53,100.0,0.40087032318115234,2026-02-16T17:05:57.990931,2026-02-16T17:05:58.391800,solver_INF295_run_05.csv
Solver,INF295,6,51.23666666666664,53,100.0,0.40144991874694824,2026-02-16T17:05:58.395596,2026-02-16T17:05:58.797045,solver_INF295_run_06.csv
Solver,INF295,7,51.23666666666664,53,100.0,0.4383809566497803,2026-02-16T17:05:58.801018,2026-02-16T17:05:59.239400,solver_INF295_run_07.csv
Solver,INF295,8,51.23666666666664,53,100.0,0.40116095542907715,2026-02-16T17:05:59.243063,2026-02-16T17:05:59.644224,solver_INF295_run_08.csv
Solver,INF295,9,51.23666666666664,53,100.0,0.40497493743896484,2026-02-16T17:05:59.648109,2026-02-16T17:06:00.053084,solver_INF295_run_09.csv
Solver,INF295,10,51.23666666666664,53,100.0,0.39989495277404785,2026-02-16T17:06:00.056974,2026-02-16T17:06:00.456869,solver_INF295_run_10.csv
Solver,INF295,11,51.23666666666664,53,100.0,0.40483593940734863,2026-02-16T17:06:00.461048,2026-02-16T17:06:00.865884,solver_INF295_run_11.csv
Solver,INF295,12,51.23666666666664,53,100.0,0.39621686935424805,2026-02-16T17:06:00.869933,2026-02-16T17:06:01.266150,solver_INF295_run_12.csv
Solver,INF295,13,51.23666666666664,53,100.0,0.4482438564300537,2026-02-16T17:06:01.270038,2026-02-16T17:06:01.718282,solver_INF295_run_13.csv
Solver,INF295,14,51.23666666666664,53,100.0,0.39508676528930664,2026-02-16T17:06:01.722329,2026-02-16T17:06:02.117416,solver_INF295_run_14.csv
Solver,INF295,15,51.23666666666664,53,100.0,0.4068028926849365,2026-02-16T17:06:02.121413,2026-02-16T17:06:02.528216,solver_INF295_run_15.csv
Solver,INF295,16,51.23666666666664,53,100.0,0.40199923515319824,2026-02-16T17:06:02.532123,2026-02-16T17:06:02.934123,solver_INF295_run_16.csv
Solver,INF295,17,51.23666666666664,53,100.0,0.4125981330871582,2026-02-16T17:06:02.938736,2026-02-16T17:06:03.351334,solver_INF295_run_17.csv
Solver,INF295,18,51.23666666666664,53,100.0,0.4442310333251953,2026-02-16T17:06:03.355175,2026-02-16T17:06:03.799407,solver_INF295_run_18.csv
Solver,INF295,19,51.23666666666664,53,100.0,0.40468788146972656,2026-02-16T17:06:03.803258,2026-02-16T17:06:04.207946,solver_INF295_run_19.csv
Solver,INF295,20,51.23666666666664,53,100.0,0.4014415740966797,2026-02-16T17:06:04.211984,2026-02-16T17:06:04.613425,solver_INF295_run_20.csv
Solver,INF295,21,51.23666666666664,53,100.0,0.3984241485595703,2026-02-16T17:06:04.616896,2026-02-16T17:06:05.015321,solver_INF295_run_21.csv
Solver,INF295,22,51.23666666666664,53,100.0,0.39556407928466797,2026-02-16T17:06:05.018987,2026-02-16T17:06:05.414550,solver_INF295_run_22.csv
Solver,INF295,23,51.23666666666664,53,100.0,0.41823697090148926,2026-02-16T17:06:05.418190,2026-02-16T17:06:05.836428,solver_INF295_run_23.csv
